epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.921441,0.324167,1.685136,0.431965,0.001,25.6989
2,1.580445,0.455,1.370569,0.557235,0.001,24.3713
3,1.35413,0.546667,1.256451,0.552916,0.001,3.0857
4,1.213784,0.615833,1.268992,0.585313,0.001,2.8868
5,1.034636,0.694167,1.186182,0.593952,0.001,2.9623
6,0.946866,0.705,1.490229,0.475162,0.001,2.8351
7,0.86792,0.7425,1.154498,0.609071,0.001,3.039
8,0.724819,0.7925,1.261858,0.598272,0.001,2.967
9,0.654071,0.820833,1.241291,0.589633,0.001,2.8533
10,0.613265,0.826667,1.549447,0.550756,0.0005,2.9027
11,0.533214,0.8475,1.038765,0.663067,0.0005,2.8865
12,0.472703,0.868333,1.193238,0.637149,0.0005,3.0348
