epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.995922,0.284167,1.873841,0.280778,0.001,30.8285
2,1.572931,0.509167,1.598141,0.453564,0.001,21.8619
3,1.206943,0.645833,1.437033,0.50108,0.001,1.556
4,0.947684,0.7475,1.487311,0.542117,0.001,1.5147
5,0.701224,0.83,1.455461,0.518359,0.001,1.5798
6,0.524753,0.898333,1.442726,0.514039,0.0005,1.5308
7,0.373763,0.943333,1.27601,0.609071,0.0005,1.5155
8,0.301185,0.958333,1.337916,0.559395,0.0005,1.6533
9,0.235319,0.9725,1.434261,0.550756,0.0005,1.6178
10,0.207667,0.98,1.383581,0.570194,0.00025,1.5609
11,0.170729,0.9875,1.320156,0.578834,0.00025,1.5336
